NAME,GRADE,HEIGHT,BOLTS,AREA
Sour Girl,10c,30,6,North Forty
Entema,11b,30,4,North Forty
Poltergeist,10c,30,5,North Forty
Turdulation,8+,30,5,North Forty
Frankenbelly,8,30,5,North Forty
Bowel Power,8,30,5,North Forty
Super Gut,9,30,4,North Forty
Upper Decker,10b,30,4,North Forty
"Meck, Meckeâ€¦What's the Difference",9+,35,5,North Forty
Seaana Says,11d,30,5,North Forty
McLovin' it,12a,35,5,North Forty
Love Slave,11c,30,5,North Forty
Love Member,11c,35,5,North Forty
Goldmember,12b,30,5,North Forty
Horny Goatweed,11a,40,6,North Forty
Something for Cici,10a,35,5,North Forty
Jackhole,10a,40,6,North Forty
Around the Fur,8+,45,5,North Forty
Kurbcheck,9,45,5,North Forty
Harry Butthole Pussy Potter,9+,45,6,North Forty
Hitman,13a,65,9,North Forty
Hitboy,12a,45,8,North Forty
Balooga,13a,35,6,North Forty
Baloogaman,13b,50,7,North Forty
"Mine, Mine, Mine",11d,35,7,North Forty
Left For Dead,11b,35,6,North Forty
Action Hotdog,6,30,4,North Forty
Perfect Hair Forever,7,35,5,North Forty
Venus Butterfly,13a,40,6,North Forty
Johnny Revelator,13a,35,5,North Forty
More Better,10b,50,7,North Forty
Serfs and Lords,10b,55,7,North Forty
Scrambled Eggs,8,60,6,North Forty
Spam,7,60,6,North Forty
Season of the Storm,10a,60,8,North Forty
Sonny Jim,11a,60,8,North Forty
Lavender Eye,12a,60,9,North Forty
First Normal Form,10a,60,9,North Forty
Green Goblin,8,60,9,North Forty
Ace in the Hole,9,65,9,North Forty
Trapeze Artist,12b,60,8,North Forty
Big Top,11c,55,8,North Forty
Fat Hand,12a,55,9,North Forty
Corn Grinder,11b,60,10,North Forty
Corn Grinder Free,12c,60,10,North Forty
Big Hand,11b,65,9,North Forty
Big Fat Grinder,11b,70,11,North Forty
Fat Top,12a,65,9,North Forty
Butt in Hand,12d,70,9,North Forty
Fat Grinder,12a,65,11,North Forty
Dancing Outlaw,9+,65,10,North Forty
Summer Rain,6,60,8,North Forty
Cotton Candy,6,60,8,North Forty
The Controversy,9,60,8,North Forty
Lion Tamer,9-,60,7,North Forty
Frankenberry,9+,60,7,North Forty
Paul's Redemption,7,60,8,North Forty
Sin Nombre,9-,50,6,North Forty
